"name","citationCount","citerCount"
"Fabrizia Mealli","2","6"
"Fadoua Balabdaoui","15","36"
"Faming Liang","9","7"
"Fan Li","0","0"
"Fang Fang","0","0"
"Fang Yao","70","74"
"Fanny Villers","0","0"
"Fasheng Sun","1","1"
"Fatemah Alqallaf","1","2"
"Fatima Salgueiro","0","0"
"Fauzia Paize","0","0"
"Federico J OReilly","0","0"
"Fei Wang","0","0"
"Fei Zou","1","4"
"Feifang Hu","21","19"
"Feike C Drost","1","3"
"Felix Abramovich","23","48"
"Feng Guo","0","0"
"Feng Liang","14","25"
"Fengchang Lin","0","0"
"Fengrong Wei","4","13"
"Fernando A Quintana","24","38"
"Fernando Antonio Da Silva Moura","1","2"
"Finbarr OSullivan","0","0"
"Finn Lindgren","1","4"
"Flavio Ziegelmann","2","3"
"Florentina Bunea","25","41"
"Florian Frommlet","0","0"
"Florin Vaida","6","17"
"Forrest Spencer","0","0"
"Francesca Chiaromonte","27","38"
"Francesca Dominici","4","8"
"Francesco Audrino","0","0"
"Francesco Bartolucci","4","9"
"Francesco Bravo","3","3"
"Francis R Bach","0","0"
"Francis X Diebold","3","8"
"Francisco Martinez-Murillo","0","0"
"Francois Perron","0","0"
"Francois Roueff","1","2"
"Frank Bretz","5","9"
"Frank Critchley","1","4"
"Frank G Ball","1","2"
"Frank H van der Meulen","0","0"
"Frank Miller","2","5"
"Franz Merkl","0","0"
"Fred A Wright","1","4"
"Freda Cooner","0","0"
"Frederi G Viens","1","2"
"Frederic P Schoenberg","3","5"
"Frederic Y Bois","0","0"
"Frederick A Matsen","0","0"
"Frederick K H Phoa","1","4"
"Frederick Wong","11","28"
"Fredrik A Dahl","2","5"
"Friedrich K Port","0","0"
"Fritz Scheuren","0","0"
"Fugee Tsung","3","8"
"Fulvia Pennoni","0","0"
"Fulvio De Santis","1","2"
"Fumiyasu Komaki","3","7"
"Fuqing Gao","0","0"
"Fusheng Su","2","4"
"Fushing Hsieh","0","0"
"G Alastair Young","6","7"
"G Chauvet","0","0"
"G D Richardson","0","0"
"G E Tita","0","0"
"G Hooker","9","17"
"G K Essick","0","0"
"G O Mohler","0","0"
"G Tavecchia","0","0"
"Gabor J Szekely","0","0"
"Gabor Lugosi","8","16"
"Gabriel A Rodriguez-Yam","5","10"
"Gabriel Chandler","3","6"
"Gabriel Kuhn","0","0"
"Gabriel Lang","0","0"
"Gael M Martin","0","0"
"Galin L Jones","7","14"
"Galit Shmueli","4","8"
"Gang Li","0","0"
"Ganggang Xu","0","0"
"Gardar Johannesson","0","0"
"Gareth Hughes","0","0"
"Gareth M James","37","54"
"Gareth Roberts","48","69"
"Garrett M Fitzmaurice","0","0"
"Garrick L Wallstrom","1","3"
"Gary King","0","0"
"Gary L Rosner","29","32"
"Gary Lorden","0","0"
"Gaurav Sharma","0","0"
"Gauri Sankar Datta","9","20"
"Gautam Tripathi","0","0"
"Gavin Shaddick","0","0"
"Gayle DeDe","0","0"
"Geert Molenberghs","4","14"
"Geert Verbeke","1","3"
"Genevera I Allen","0","0"
"Geoff K Nicholls","0","0"
"Geoffrey S Ginsburg","0","0"
"George C Newman","0","0"
"George C Tseng","12","19"
"George Casella","20","37"
"George G Judge","0","0"
"George Michailidis","2","5"
"George Poyiadjis","0","0"
"George R Terrell","1","1"
"George Tauchen","0","0"
"George V Moustakides","0","0"
"Georgi K Golubev","4","5"
"Gerard Biau","0","0"
"Gerard J van den Berg","2","4"
"Gerard J Van Den Berg","0","0"
"Gerard Kerkyacharian","11","23"
"Gerard Letac","5","9"
"Gerda Claeskens","38","54"
"Gerhard Dikta","0","0"
"Gerhard Osius","1","2"
"German Molina","10","18"
"Gernot Wassmer","0","0"
"Gersende Fort","0","0"
"Gert Willems","3","5"
"Getulio J A Amaral","5","9"
"Geurt Jongbloed","1","3"
"Gilad Lerman","0","0"
"Gilbert J Cote","0","0"
"Gilbert Mackenzie","7","12"
"Gilbert MacKenzie","0","0"
"Gilles Blanchard","7","12"
"Gilles Durrieu","0","0"
"Gilles R Ducharme","0","0"
"Giorgio E Montanari","0","0"
"Giovanni M Marchetti","0","0"
"Giovanni Parmigiani","7","20"
"Giovanni Peccati","0","0"
"Giuseppe Porro","0","0"
"Gleb A Koshevoy","0","0"
"Glen A Satten","2","4"
"Glen Meeden","0","0"
"Glenn Heller","1","2"
"Glenn Meyers","0","0"
"Glenn Shafer","3","6"
"Gong Tang","3","8"
"Gonzalo Garcia-Donato","4","13"
"Goran Kauermann","3","6"
"Gordon B Dahl","0","0"
"Gordon W Pledger","1","2"
"Grace Chan","0","0"
"Grace Chiu","0","0"
"Grace E Kissling","1","2"
"Grace L Yang","0","0"
"Grace Wahba","10","21"
"Grace Y Yi","2","6"
"Graciela Boente","0","0"
"Graham Kalton","4","7"
"Greg Ridgeway","1","2"
"Greg W Anderson","0","0"
"Gregg E Dinse","1","2"
"Gregory P Samsa","0","0"
"Gretchen G Moisen","0","0"
"Guadalupe Gomez","0","0"
"Guang Cheng","6","6"
"Guanghua Xiao","0","0"
"Guangjin Pan","0","0"
"Guanglei Hong","0","0"
"Guangming Pan","0","0"
"Guangyu Zhang","1","2"
"Gudrun Freitag","3","8"
"Guenther Walther","1","3"
"Guido Consonni","2","5"
"Guido W Imbens","0","0"
"Guilherme Rocha","9","20"
"Guillaume Lecue","4","6"
"Guillaume Obozinski","2","6"
"Guillemette Caulliez","0","0"
"Gun Ho Jang","0","0"
"Gunnar Taraldsen","3","5"
"Gunnhildur Hognadottir Steinbakk","2","5"
"Gunter Ritter","2","5"
"Gunther Walther","1","1"
"Guobing Lu","0","0"
"Guodong Li","3","4"
"Guohua Zou","2","6"
"Guosheng Yin","13","25"
"Guoying Li","5","10"
"Guozhi Gao","1","4"
"Gustavo Didier","0","0"
"Guy Lebanon","0","0"
"Guy P Nason","5","12"
"Guy Thomas","0","0"
"H-S Oh","0","0"
"H Boistard","0","0"
"H Haario","0","0"
"H Hoijtink","0","0"
"H Thijs","3","11"
"Haakon Tjelmeland","0","0"
"Haavard Rue","11","24"
"Hae Kyung Im","2","4"
"Haeran Cho","0","0"
"Haibo Zhou","17","25"
"Haihong Li","0","0"
"Haipeng Shen","5","13"
"Haiqun Lin","2","6"
"Haitao Chu","2","5"
"Haiyan Huang","1","2"
"Hajime Uno","4","10"
"Hajo Holzmann","1","2"
"Hakbae Lee","0","0"
"Halbert White","1","2"
"Halina Frydman","0","0"
"Hammou El Barmi","1","3"
"Han-Joo Kim","0","0"
"Han Han","0","0"
"Han Hong","3","4"
"Han Liu","0","0"
"Hanfeng Chen","7","12"
"Hani Doss","4","10"
"Hanlee Ji","2","4"
"Hannes Helgason","3","10"
"Hannes Leeb","6","7"
"Hannu Oja","10","15"
"Hans-Georg Muller","127","103"
"Hans Arnfinn Karlsen","2","6"
"Hans C van Houwelingen","3","8"
"Hans R Kunsch","4","11"
"Hansheng Wang","46","67"
"Hanwen Huang","0","0"
"Hao Helen Zhang","37","59"
"Hao Liu","0","0"
"Hao Purdue Zhang","23","40"
"Hao Wang","1","3"
"Hao Yu","1","2"
"Haobo Ren","1","2"
"Haonan Wang","2","5"
"Hari K Iyer","4","6"
"Hari Mukerjee","1","3"
"Harold B Sackrowitz","5","6"
"Harrie Hendriks","0","0"
"Harrison H Zhou","8","15"
"Harry Joe","1","3"
"Heather J Whitaker","0","0"
"Heather Spencer Feigelson","0","0"
"Hee-Seok Oh","6","17"
"Hee-Young Kim","1","2"
"Hegang H Chen","4","7"
"Heidi W Ashih","0","0"
"Hein Putter","0","0"
"Helena Geys","0","0"
"Helene Gehrmann","0","0"
"Helene Massam","20","24"
"Helga Wagner","1","3"
"Helio S Migon","0","0"
"Helmut Finner","8","16"
"Helmut Schafer","0","0"
"Hemant Ishwaran","24","44"
"Hendrik P Lopuhaa","3","6"
"Heng-Hui Lue","2","3"
"Heng Peng","69","98"
"Henghsiu Tsai","0","0"
"Hengjian Cui","6","13"
"Henk Kelderman","0","0"
"Henry P Wynn","0","0"
"Heping He","0","0"
"Heping Zhang","16","35"
"Herbert K H Lee","5","23"
"Hernando C Ombao","14","23"
"Herve Cardot","0","0"
"Heung Wong","0","0"
"Hidetoshi Shimodaira","0","0"
"Hira L Koul","4","11"
"Hock Peng Chan","0","0"
"Holger Dette","25","30"
"Holger Drees","0","0"
"Holger Rootzen","0","0"
"Holly Janes","0","0"
"Hong-Bin Fang","2","3"
"Hong-Tu Zhu","3","8"
"Hong Ooi","0","0"
"Hong Zhang","2","6"
"Hong Zhu","0","0"
"Hongjian Zhu","1","3"
"Hongqi Xue","7","15"
"Hongquan Xu","7","10"
"Hongtu Zhu","14","32"
"Hongwen Guo","1","4"
"Hongxia Yang","0","0"
"Hongxiao Zhu","0","0"
"Hongyu An","1","5"
"Hongyu Miao","1","4"
"Hongyu Zhao","0","0"
"Hongyuan Zha","18","32"
"Hongzhe Li","6","15"
"Hongzhi An","0","0"
"Hormuzd A Katki","0","0"
"Hosik Choi","5","15"
"Hovav A Dror","0","0"
"Howard D Bondell","4","6"
"Howard Hu","0","0"
"Howard L Weiner","0","0"
"Howard M Sandler","0","0"
"Howell Tong","9","16"
"Hsiao-Yun Huang","3","6"
"Hsin-Cheng Huang","17","35"
"Hua-Hua Chang","0","0"
"Hua Chen","0","0"
"Hua Liang","28","55"
"Hua Yun Chen","9","16"
"Huajun Ye","5","11"
"Huazhen Lin","6","14"
"Hugh Miller","2","2"
"Hui Jin","4","9"
"Hui Li","2","5"
"Hui Xie","0","0"
"Hui Zou","181","174"
"Huiliang Xie","0","0"
"Huilin Li","1","3"
"Huiling Le","8","12"
"Huixia Judy Wang","6","12"
"Huiyan Sang","11","25"
"Hulin Wu","10","15"
"Hung Hung","0","0"
"Hyeyoung Lee","0","0"
"Hyokyoung Grace Hong","0","0"
"Hyon-Jung Kim","5","12"
"Hyonho Chun","0","0"
"Hyoung-Moon Kim","1","2"
"Hyunsoon Cho","0","0"
"I B J Goudie","0","0"
"I D Currie","1","2"
"I Dattner","0","0"
"I Fernandez-Val","2","5"
"Iain M Johnstone","86","128"
"Ian Douglas","0","0"
"Ian H Dinwoodie","0","0"
"Ian H Jermyn","0","0"
"Ian L Dryden","16","19"
"Ian W McKeague","4","6"
"Ib M Skovgaard","0","0"
"Ibrahim Ahmad","4","10"
"Igor Prunster","14","10"
"Il Do Ha","1","2"
"Ilenia Epifani","4","6"
"Ilia Nouretdinov","0","0"
"Ilkka Porsti","0","0"
"Ilya Gluhovsky","0","0"
"Ilya Molchanov","0","0"
"Imre Csiszar","1","3"
"In Hong Chang","1","2"
"Inchi Hu","0","0"
"Inge S Helland","0","0"
"Ingeborg Waernbaum","0","0"
"Ingelin Steinsland","2","4"
"Ingo Steinwart","5","11"
"Ingram Olkin","1","3"
"Ingrid Daubechies","0","0"
"Ingrid Van Keilegom","5","9"
"Inmaculada B Aban","0","0"
"Inna Chervoneva","0","0"
"Insua Rios Insua","0","0"
"Ioana Schiopu-Kratina","0","0"
"Ioana Schiopu Kratina","0","0"
"Ioannis Kontoyiannis","0","0"
"Ioannis Kosmidis","1","2"
"Ion G Grama","1","1"
"Iping Tu","0","0"
"Ira M Longini Jr","0","0"
"Irene Gijbels","0","0"
"Irini Moustaki","0","0"
"Isabella Verdinelli","10","18"
"Ismael Sanchez","0","0"
"Isobel Claire Gormley","0","0"
"Istvan Berkes","1","2"
"Ivan Jeliazkov","0","0"
"Ivan Mizera","5","14"
"J-C Deville","0","0"
"J-H Jeong","0","0"
"J-M Marin","1","4"
"J Andrew Royle","0","0"
"J Ashbridge","0","0"
"J B Jackson","0","0"
"J C Gower","0","0"
"J Carlos Escanciano","0","0"
"J DArrigo","0","0"
"J E Griffin","18","30"
"J E Yukich","0","0"
"J F Grotowski","0","0"
"J Fortiana","0","0"
"J H van Zanten","5","8"
"J Jack Lee","0","0"
"J Kunert","2","4"
"J L Scealy","0","0"
"J M C Santos Silva","1","2"
"J M Quashnock","0","0"
"J Michael Brick","4","7"
"J N K Rao","16","27"
"J P Gosling","0","0"
"J Palomo","3","12"
"J Q Shi","0","0"
"J R Lockwood","0","0"
"J S Marron","41","47"
"J Sanderson","1","2"
"J Sedransk","0","0"
"J Simoens","1","3"
"J Sunil Rao","21","37"
"J T Gene Hwang","0","0"
"J T Kvaloy","0","0"
"J T Ormerod","0","0"
"J Tamminen","0","0"
"J Whitehead","0","0"
"Ja-Yong Koo","2","4"
"Jaakko Nevalainen","2","5"
"Jaap H Abbring","2","4"
"Jack Cuzick","1","3"
"Jacob Bien","1","1"
"Jacob von Bornemann Hjelmborg","0","0"
"Jacqueline J Meulman","3","6"
"Jacques Benichou","0","0"
"Jae Keun Yoo","0","0"
"Jae Kwang Kim","16","18"
"Jaechoul Lee","0","0"
"Jaeyong Lee","2","3"
"Jafar A Khan","1","2"
"Jai Won Choi","1","2"
"Jake Bowers","1","2"
"Jakob G Rasmussen","0","0"
"James A Calvin","5","11"
"James A Mingo","2","4"
"James A Thomson","0","0"
"James A Woods","0","0"
"James Dignam","0","0"
"James E Savarino","0","0"
"James G Booth","0","0"
"James G Scott","8","14"
"James Gattiker","3","14"
"James M Flegal","1","2"
"James O Berger","32","53"
"James O Ramsay","10","20"
"James P Hobert","11","18"
"James P Shine","0","0"
"James R Robins","32","46"
"James R Schott","4","9"
"James S Hodges","3","6"
"James V Zidek","1","3"
"James W Taylor","0","0"
"James X Hu","0","0"
"James Y Dai","0","0"
"Jamie L Bigelow","1","1"
"Jamie Perin","0","0"
"Jan Beyersmann","0","0"
"Jan C Neddermeyer","0","0"
"Jan De Neve","0","0"
"Jan Draisma","0","0"
"Jan F Bjornstad","0","0"
"Jan G De Gooijer","4","5"
"Jan Hannig","5","12"
"Jan Johannes","2","5"
"Jan R Magnus","1","3"
"Jane-Ling Wang","83","76"
"Jane M Booker","0","0"
"Janet E Heffernan","8","16"
"Janet N OSullivan","0","0"
"Janet S Sinsheimer","0","0"
"Jason A Duan","4","5"
"Jason C Hsu","1","2"
"Jason P Fine","33","40"
"Jason R W Merrick","0","0"
"Jason Roy","1","6"
"Jason S McLachlan","1","3"
"Javier Hidalgo","3","6"
"Javier Rojo","0","0"
"Jay Bartroff","0","0"
"Jay M Ver Hoef","0","0"
"Jayant V Deshpande","0","0"
"Jayanta K Ghosh","1","2"
"Jayanta Pal","0","0"
"Jean-Claude Deville","4","7"
"Jean-Francois Angers","2","10"
"Jean-Francois Beaumont","0","0"
"Jean-Francois Coeurjolly","1","2"
"Jean-Francois Dupuy","0","0"
"Jean-Francois Quessy","0","0"
"Jean-Marc Bardet","0","0"
"Jean-Marc Freyermuth","1","3"
"Jean-Marie Cornuet","5","9"
"Jean-Marie Rolin","0","0"
"Jean-Michel Marin","5","9"
"Jean-Michel Morel","0","0"
"Jean-Michel Zakoian","4","9"
"Jean-Pierre Ottoy","0","0"
"Jean-Yves Audibert","4","7"
"Jean-Yves Dauxois","0","0"
"Jean D Opsomer","12","15"
"Jean Diebolt","0","0"
"Jean Jacob","4","9"
"Jean Jacod","13","12"
"Jeanne Kowalski","1","3"
"Jeff Gill","2","5"
"Jeff Racine","7","14"
"Jeffrey Chang","3","8"
"Jeffrey D Hart","2","7"
"Jeffrey Fagan","1","2"
"Jeffrey Grogger","1","2"
"Jeffrey H Silber","16","14"
"Jeffrey Lieberman","0","0"
"Jeffrey S Morris","25","52"
"Jeffrey S Rosenthal","3","7"
"Jeffrey S Spence","1","3"
"Jelena Bradic","0","0"
"Jelle J Goeman","3","8"
"Jeng-Min Chiou","20","32"
"Jennifer A Hoeting","1","1"
"Jennifer L Hill","5","16"
"Jennifer L Wadsworth","0","0"
"Jens-Peter Kreiss","0","0"
"Jens Hainmueller","1","5"
"Jens Perch Nielsen","15","22"
"Jeongyoun Ahn","13","17"
"Jerald F Lawless","1","2"
"Jeremie Bigot","0","0"
"Jeremy E Oakley","4","13"
"Jeremy M G Taylor","0","0"
"Jerome H Friedman","4","9"
"Jerome Kalifa","0","0"
"Jerome P Reiter","11","13"
"Jerry M Davis","0","0"
"Jerry Sacks","3","12"
"Jerry W Tsai","1","2"
"Jesper Madsen","0","0"
"Jesper Moller","10","20"
"Jesse Frey","0","0"
"Jessica Minnier","0","0"
"Jessica Tressou","0","0"
"Jesus Lopez-Fidalgo","1","2"
"Jesus Rios","0","0"
"Ji-Ping Z Wang","1","1"
"Ji Meng Loh","6","3"
"Ji Zhu","39","68"
"Jiahua Chen","16","25"
"Jialiang Li","0","0"
"Jian-Feng Yao","0","0"
"Jian-Jian Ren","0","0"
"Jian Guo","0","0"
"Jian Huang","66","94"
"Jian Kang","0","0"
"Jian Shi","0","0"
"Jian Tu","0","0"
"Jian Zhang","2","5"
"Jian Zou","5","10"
"Jianan Peng","0","0"
"Jiancang Zhuang","3","8"
"Jiancheng Jiang","15","25"
"Jianguo Sun","3","6"
"Jianhua Hu","1","4"
"Jianhua Z Huang","44","87"
"Jianhui Zhou","5","15"
"Jiannong Liu","1","3"
"Jianqiang C Wang","0","0"
"Jianqing Fan","240","240"
"Jianrong Wu","1","3"
"Jianwei Chen","10","21"
"Jianwen Cai","18","32"
"Jianxin Pan","14","15"
"Jianxin Shi","0","0"
"Jiashun Jin","59","56"
"Jiawei Liu","0","0"
"Jiayang Sun","4","4"
"Jiazhu Pan","6","11"
"Jichun Xie","1","3"
"Jie Peng","3","9"
"Jiguo Cao","9","17"
"Jihong Chen","0","0"
"Jim Kuelbs","0","0"
"Jim Q Smith","0","0"
"Jiming Jiang","3","7"
"Jimmy Olsson","0","0"
"Jimmy Ye","6","11"
"Jin-Jian Hsieh","0","0"
"Jin-Ting Zhang","6","12"
"Jin Cao","0","0"
"Jinbo Chen","0","0"
"Jinchi Lv","45","73"
"Jinfeng Xu","0","0"
"Jing-Hao Xue","1","2"
"Jing Cheng","6","13"
"Jing Ning","4","10"
"Jing Qian","0","0"
"Jing Qin","10","12"
"Jing Qiu","0","0"
"Jing Wang","1","2"
"Jing Xu","0","0"
"Jinglai Shen","0","0"
"Jingran Sun","0","0"
"Jingrong Yang","0","0"
"Jinnan Liu","3","6"
"Jinzhu Jia","0","0"
"Jiti Gao","5","12"
"Jiying Yin","2","3"
"Jo Eidsvik","0","0"
"Joanne R Lupton","4","9"
"Jochen Einbeck","0","0"
"Joel A Dubin","1","2"
"Joel L Horowitz","46","71"
"Johan Lim","0","0"
"Johan Lindstrom","1","4"
"Johan Segers","3","5"
"Johanna Neslehova","1","1"
"Johanna Ziegel","2","4"
"John A Cafeo","3","12"
"John A D Aston","0","0"
"John A Rhodes","3","8"
"John Allen Logan","0","0"
"John B Copas","3","8"
"John Barnard","5","16"
"John C Liechty","1","3"
"John D Kalbfleisch","10","20"
"John D Kloke","1","4"
"John D Lafferty","1","3"
"John D Storey","73","97"
"John E Kolassa","0","0"
"John Ehrlinger","0","0"
"John F Widmann","0","0"
"John Geweke","0","0"
"John H Gilmore","0","0"
"John H J Einmahl","4","6"
"John H Maddocks","1","3"
"John Haslett","0","0"
"John J Hanfelt","1","2"
"John L Eltinge","0","0"
"John L Spouge","0","0"
"John M MacDonald","0","0"
"John M Neuhaus","1","2"
"John OQuigley","0","0"
"John P Buonaccorsi","3","5"
"John P Klein","2","7"
"John P Morgan","3","3"
"John R Crawford","0","0"
"John Rice","13","25"
"John Robinson","3","4"
"John S Preisser","0","0"
"John Staudenmayer","10","11"
"John Stufken","5","9"
"John T Chen","0","0"
"John T Kent","0","0"
"John Thomas White","0","0"
"John V Pepper","0","0"
"John W Durban","0","0"
"John W McDonald","0","0"
"Jolene Birmingham","0","0"
"Jon A Wellner","19","31"
"Jon D McAuliffe","15","27"
"Jonathan C Wakefield","0","0"
"Jonathan D Norton","0","0"
"Jonathan E Taylor","48","78"
"Jonathan J Wylie","0","0"
"Jonathan Myles","1","3"
"Jonathan Powell","1","3"
"Jonathan R Stroud","4","12"
"Jonathan Rougier","0","0"
"Jonathan Tawn","17","20"
"Jonathan Tyrer","1","3"
"Jonathan Weinberg","2","6"
"Jong S Kim","0","0"
"Jong Soo Lee","0","0"
"Joonwook Park","0","0"
"Jooyoung Jeon","0","0"
"Jordi Valero","0","0"
"Jorg Breitung","0","0"
"Jorg Drechsler","0","0"
"Jorg Polzehl","0","0"
"Jorge Mateu","0","0"
"Jorn Tenhofen","0","0"
"Jose A F Machado","1","2"
"Jose M Bernardo","1","4"
"Jose Manuel Pavia","0","0"
"Jose Manuel Pavia-Miralles","1","3"
"Jose Maria Montero","0","0"
"Jose Maria Sarabia","0","0"
"Jose Pinheiro","5","9"
"Jose R Berrendero","0","0"
"Jose Scheinkman","0","0"
"Jose T A S Ferreira","4","9"
"Josef Dick","0","0"
"Joseph B Kadane","5","13"
"Joseph B Lang","2","4"
"Joseph E Lucas","3","8"
"Joseph G Ibrahim","36","68"
"Joseph L Schafer","4","8"
"Joseph Neeman","1","2"
"Joseph P Costantino","1","3"
"Joseph P Romano","37","40"
"Joseph R Nevins","3","8"
"Joseph W Hogan","3","13"
"Joseph W McKean","1","4"
"Joshua D Habiger","1","4"
"Joshua M Tebbs","1","4"
"Josue G Martinez","1","3"
"Jouni Kuha","0","0"
"Joyee Ghosh","0","0"
"Ju-Hyun Park","23","32"
"Juan-Juan Cai","0","0"
"Juan A Cuesta-Albertos","0","0"
"Juan Du","4","11"
"Juan Romo","0","0"
"Juanjuan Fan","0","0"
"Judith J Lok","1","3"
"Judith Rousseau","9","24"
"Juhee Lee","0","0"
"Juhyun Park","0","0"
"Julia Y Lin","1","3"
"Julian Besag","2","6"
"Julian Wolfson","0","0"
"Julian Z Wang","0","0"
"Juliet Popper Shaffer","7","16"
"Julio M Singer","0","0"
"Jun-Iowa Li","0","0"
"Jun-Z Li","2","4"
"Jun Li","1","3"
"Jun S Liu","8","15"
"Jun Shao","4","9"
"Jun Sheng","0","0"
"Jun Xie","0","0"
"Jun Yan","6","9"
"Jun Zhu","1","1"
"Junchang Ju","0","0"
"Jung-Ying Tzeng","1","3"
"Junhui Wang","3","6"
"Junichi Hirukawa","0","0"
"Junni L Zhang","3","9"
"Junqing Yuan","1","4"
"Junyi Xie","0","0"
"Junyuan Wang","2","2"
"Junzhou Huang","1","4"
"Jurgen Dippon","1","2"
"Jussi Klemela","0","0"
"Justine Shults","0","0"
"Jyh-Shyang Wu","1","3"
"Jyoti Zalkikar","0","0"
"Jyrki Mottonen","0","0"
"K B Kulasekera","2","6"
"K F Lam","6","12"
"K K Berthelsen","5","15"
"K L Verosub","0","0"
"K Shafie","0","0"
"K Strassburger","0","0"
"Ka Yee Yeung","0","0"
"Kai-Sheng Song","0","0"
"Kai-Tai Fang","6","7"
"Kai F Yu","0","0"
"Kai Tai Fang","0","0"
"Kai UNKNOWN Yu","0","0"
"Kai W Ng","0","0"
"Kai Zhang","0","0"
"Kalatu Davies","0","0"
"Kalyan Das","0","0"
"Kam-Chuen Yuen","0","0"
"Kam-Wah Tsui","0","0"
"Kanchan Mukherjee","0","0"
"Kani Chen","9","20"
"Kannan Natarajan","0","0"
"Kanta Naito","2","5"
"Kanti V Mardia","2","6"
"Kaoru Fueda","0","0"
"Karen Bandeen-Roche","4","10"
"Karen Marder","0","0"
"Karen T Tashima","1","6"
"Kari Lock Morgan","0","0"
"Karim Anaya-Izquierdo","0","0"
"Karim Lounici","1","2"
"Karim Oualkacha","0","0"
"Karin S Dorman","0","0"
"Karina Laneri","0","0"
"Karine Tribouley","0","0"
"Karl-Anton Dorph-Petersen","2","4"
"Karl Rohe","1","3"
"Kaspar Rufibach","4","9"
"Katherine B Ensor","0","0"
"Kathrin Bissantz","0","0"
"Kathryn Prewitt","0","0"
"Kathryn Roeder","10","23"
"Katsumi Shimotsu","2","4"
"Kaushik Ghosh","2","4"
"Kay F Pilz","2","5"
"Ke Xu","2","8"
"Ke Yang","0","0"
"Ke Yu","0","0"
"Ke Zhu","0","0"
"Keaven M Anderson","0","0"
"Kee-Hoon Kang","2","4"
"Kefei Zhou","0","0"
"Keh-Shin Lii","0","0"
"Kehui Chen","0","0"
"Keith J Worsley","3","6"
"Keith Knight","9","18"
"Keith M Muller","7","13"
"Kelli Talaska","0","0"
"Keming Yu","2","5"
"Kenji Fukumizu","0","0"
"Kenneth A Krohn","0","0"
"Kenneth F Raffa","0","0"
"Kenneth Falconer","0","0"
"Kenneth Lange","0","0"
"Kenneth Lindsay","0","0"
"Kenneth M Rice","1","1"
"Kenneth Westrick","4","8"
"Kenny Q Ye","7","13"
"Kent E Holsinger","0","0"
"Ker-Ai Lee","0","0"
"Ker-Chau Li","10","23"
"Kerby Shedden","10","23"
"Kerrie Mengersen","0","0"
"Kesar Singh","4","7"
"Keunbaik Lee","1","4"
"Kevin K Dobbin","0","0"
"Kevin Lee","3","5"
"Kevin Quinn","0","0"
"Kevin W Dodd","1","2"
"Kevyn Collins-Thompson","0","0"
"Keyur H Desai","0","0"
"Khoan T Dinh","0","0"
"Khurram Nadeem","0","0"
"Kilani Ghoudi","0","0"
"Kim E Andersen","0","0"
"Kim J Krishnan","0","0"
"Kim Kenobi","2","4"
"Kim P Huynh","0","0"
"Kim Parsons","0","0"
"Kingshuk Roy Choudhury","0","0"
"Kirti R Shah","1","2"
"Kjell Doksum","0","0"
"Kjell Nygren","0","0"
"Klaus von Wilpert","0","0"
"Knashawn H Morales","1","4"
"Knut Heggland","2","4"
"Koji Tanaka","0","0"
"Konstantinos Fokianos","0","0"
"Konstantinos Kalogeropoulos","0","0"
"Kosuke Imai","1","2"
"Krista Fischer","0","0"
"Krista J Gile","0","0"
"Kristin Berry","0","0"
"Kristin Larson","4","8"
"Kristin N Javaras","0","0"
"Kristin P Lennox","1","2"
"Kristine E Lee","0","0"
"Krzysztof Latuszynski","1","2"
"Kshitij Khare","3","6"
"Kun Chen","0","0"
"Kun Liang","0","0"
"Kung-Sik Chan","2","4"
"Kung-Yee Liang","0","0"
"Kwang Woo Ahn","0","0"
"Kyounghwa Bae","0","0"
"Kyungchul Song","0","0"
"Kyusang Yu","5","10"
"L Billard","0","0"
"L Cavalier","1","1"
"L Garry Adams","0","0"
"L Giraitis","0","0"
"L J Wei","50","54"
"L Reboul","1","1"
"Lai Wei","0","0"
"Lajmi Lakhal-Chaieb","0","0"
"Lajmi Lakhal Chaieb","0","0"
"Lajos Horvath","4","6"
"Lan Huang","1","3"
"Lan Kong","2","4"
"Lan Ma Nygren","0","0"
"Lan Wang","4","7"
"Lan Xue","1","4"
"Lan Zhang","14","25"
"Lan Zhou","5","15"
"Lancelot F James","7","11"
"Lang Wu","0","0"
"Lanh T Tran","1","3"
"Larry Goldstein","0","0"
"Larry Shepp","0","0"
"Larry Wasserman","85","106"
"Lars Peter Hansen","0","0"
"Laura M Sangalli","0","0"
"Laura Temime","0","0"
"Laura Ventura","0","0"
"Laurens de Haan","7","17"
"Laurent Bordes","2","5"
"Laurent Briollais","0","0"
"Laurent Rouviere","0","0"
"Lawrence C McCandless","0","0"
"Lawrence Carin","2","3"
"Lawrence D Brown","13","22"
"Lawrence Joseph","0","0"
"Leah J Welty","13","28"
"Leah Jager","2","4"
"Leen Slaets","0","0"
"Lehel Csato","0","0"
"Lei Nie","0","0"
"Leif Boysen","2","3"
"Leila Mohammadi","0","0"
"Leilei Zeng","0","0"
"Lenka Mach","0","0"
"Leo Breiman","0","0"
"Leon J Gleser","0","0"
"Leonard A Stefanski","5","13"
"Leonardo Grilli","1","3"
"Leopold Simar","0","0"
"Leslie Cope","2","3"
"Lexin Li","11","18"
"Li-Chun Zhang","0","0"
"Li-Shan Huang","1","2"
"Li-Xin Zhang","7","11"
"Li Chen","0","0"
"Li Hsu","1","3"
"Li Ma","1","2"
"Li Wang","1","1"
"Liam Smeeth","0","0"
"Lianfen Qian","0","0"
"Liang Peng","14","19"
"Lianming Wang","0","0"
